1	2	0.0083	0.028	0.129	1	100	1
2	3	0.0298	0.085	0.0818	1	100	1
3	4	0.0112	0.0366	0.038	1	100	1
4	5	0.0625	0.132	0.0258	1	100	1
4	6	0.043	0.148	0.0348	1	100	1
6	7	0.02	0.102	0.0276	1	100	1
6	8	0.0339	0.173	0.047	1	100	1
8	9	0.0099	0.0505	0.0548	1	100	1
9	10	0.0369	0.1679	0.044	1	100	1
9	11	0.0258	0.0848	0.0218	1	100	1
9	12	0.0648	0.295	0.0772	1	100	1
9	13	0.0481	0.158	0.0406	1	100	1
13	14	0.0132	0.0434	0.011	1	100	1
13	15	0.0269	0.0869	0.023	1	100	1
1	15	0.0178	0.091	0.0988	1	100	1
1	16	0.0454	0.206	0.0546	1	100	1
1	17	0.0238	0.108	0.0286	1	100	1
3	15	0.0162	0.053	0.0544	1	100	1
4	18	0	0.555	0	1	100	1
4	18	0	0.43	0	1	100	1
5	6	0.0302	0.0641	0.0124	1	100	1
7	8	0.0139	0.0712	0.0194	1	100	1
10	12	0.0277	0.1262	0.0328	1	100	1
11	13	0.0223	0.0732	0.0188	1	100	1
12	13	0.0178	0.058	0.0604	1	100	1
12	16	0.018	0.0813	0.0216	1	100	1
12	17	0.0397	0.179	0.0476	1	100	1
14	15	0.0171	0.0547	0.0148	1	100	1
18	19	0.461	0.685	0	1	100	1
19	20	0.283	0.434	0	1	100	1
21	20	0	0.7767	0	1	100	1
21	22	0.0736	0.117	0	1	100	1
22	23	0.0099	0.0152	0	1	100	1
23	24	0.166	0.256	0.0084	1	100	1
24	25	0	1.182	0	1	100	1
24	25	0	1.23	0	1	100	1
24	26	0	0.0473	0	1	100	1
26	27	0.165	0.254	0	1	100	1
27	28	0.0618	0.0954	0	1	100	1
28	29	0.0418	0.0587	0	1	100	1
7	29	0	0.0648	0	1	100	1
25	30	0.135	0.202	0	1	100	1
30	31	0.326	0.497	0	1	100	1
31	32	0.507	0.755	0	1	100	1
32	33	0.0392	0.036	0	1	100	1
34	32	0	0.953	0	1	100	1
34	35	0.052	0.078	0.0032	1	100	1
35	36	0.043	0.0537	0.0016	1	100	1
36	37	0.029	0.0366	0	1	100	1
37	38	0.0651	0.1009	0.002	1	100	1
37	39	0.0239	0.0379	0	1	100	1
36	40	0.03	0.0466	0	1	100	1
22	38	0.0192	0.0295	0	1	100	1
11	41	0	0.749	0	1	100	1
41	42	0.207	0.352	0	1	100	1
41	43	0	0.412	0	1	100	1
38	44	0.0289	0.0585	0.002	1	100	1
15	45	0	0.1042	0	1	100	1
14	46	0	0.0735	0	1	100	1
46	47	0.023	0.068	0.0032	1	100	1
47	48	0.0182	0.0233	0	1	100	1
48	49	0.0834	0.129	0.0048	1	100	1
49	50	0.0801	0.128	0	1	100	1
50	51	0.1386	0.22	0	1	100	1
10	51	0	0.0712	0	1	100	1
13	49	0	0.191	0	1	100	1
29	52	0.1442	0.187	0	1	100	1
52	53	0.0762	0.0984	0	1	100	1
53	54	0.1878	0.232	0	1	100	1
54	55	0.1732	0.2265	0	1	100	1
11	43	0	0.153	0	1	100	1
44	45	0.0624	0.1242	0.004	1	100	1
40	56	0	1.195	0	1	100	1
56	41	0.553	0.549	0	1	100	1
56	42	0.2125	0.354	0	1	100	1
39	57	0	1.355	0	1	100	1
57	56	0.174	0.26	0	1	100	1
38	49	0.115	0.177	0.003	1	100	1
38	48	0.0312	0.0482	0	1	100	1
9	55	0	0.1205	0	1	100	1
1	58	0.1	0.01	0	1	100	1
58	59	0.01	0.0001	0.0001	1	100	1
15	60	0.01	0.0001	0.0001	1	100	1
17	61	0.01	0.0001	0.0001	1	100	1
50	62	0.01	0.0001	0.0001	1	100	1
51	63	0.01	0.0001	0.0001	1	100	1
64	65	0.01938	0.05917	0.0528	1	100	1
64	68	0.05403	0.22304	0.0492	1	100	1
65	66	0.04699	0.19797	0.0438	1	100	1
65	67	0.05811	0.17632	0.034	1	100	1
65	68	0.05695	0.17388	0.0346	1	100	1
66	67	0.06701	0.17103	0.0128	1	100	1
67	68	0.01335	0.04211	0	1	100	1
67	70	0	0.20912	0	1	100	1
67	72	0	0.55618	0	1	100	1
68	69	0	0.25202	0	1	100	1
69	74	0.09498	0.1989	0	1	100	1
69	75	0.12291	0.25581	0	1	100	1
69	76	0.06615	0.13027	0	1	100	1
70	71	0	0.17615	0	1	100	1
70	72	0	0.11001	0	1	100	1
72	73	0.03181	0.0845	0	1	100	1
72	77	0.12711	0.27038	0	1	100	1
73	74	0.08205	0.19207	0	1	100	1
75	76	0.22092	0.19988	0	1	100	1
76	77	0.17093	0.34802	0	1	100	1
65	78	0.01	0.0001	0.0001	1	100	1
68	79	0.01	0.0001	0.0001	1	100	1
75	80	0.01	0.0001	0.0001	1	100	1
